  ,Paired Raw R1 Read Count,hg38 unaligned Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
02-0047-01A-01R-1849-01+1,57273471,1894153,73108,375087,3112,43,13,11,1765,15,11,9,1760,11,11,9
02-0047-01A-01R-1849-01+2,39763747,1191020,47570,231778,1616,27,12,11,985,13,10,9,981,10,10,9
02-0055-01A-01R-1849-01+1,61180879,1593663,60441,388918,39542,35050,34903,34833,2719,53,18,16,2712,48,18,16
02-0055-01A-01R-1849-01+2,39650254,972266,37830,276252,33567,31205,31114,31049,1660,43,16,14,1656,41,16,14
02-2483-01A-01R-1849-01+1,44460963,1006455,43032,152387,4794,120,45,43,3721,27,19,19,3714,20,19,19
02-2483-01A-01R-1849-01+2,68928400,1708288,69202,256871,7540,178,57,53,5148,40,20,19,5130,24,20,19
02-2485-01A-01R-1849-01+1,60776178,1941813,66003,271448,19361,103,38,36,16606,33,13,13,16594,23,13,13
02-2485-01A-01R-1849-01+2,41304326,1354201,45373,179214,16781,63,30,28,15146,23,13,13,15142,19,13,13
02-2486-01A-01R-1849-01+1,35970074,1501674,44382,466776,53847,2425,21,19,23037,279,5,5,22977,226,5,5
02-2486-01A-01R-1849-01+2,57718395,2100280,68993,565624,57453,2490,32,29,24652,292,7,7,24582,231,7,7
06-0125-01A-01R-1849-01+1,48672864,995479,44058,112285,3901,24,5,3,2981,6,3,2,2976,4,3,2
06-0125-01A-01R-1849-01+2,70452723,1709517,70400,230960,6217,57,7,5,4186,12,5,4,4177,7,5,4
06-0125-02A-11R-2005-01+1,42167813,1046366,39221,242154,33372,37,13,10,31567,13,8,5,31562,9,8,5
06-0125-02A-11R-2005-01+2,62386886,1660298,59431,357723,36432,60,14,11,33477,19,9,6,33467,11,9,6
06-0129-01A-01R-1849-01+1,72932103,2270080,90315,331974,15048,59,7,5,12678,18,7,5,12666,10,7,5
06-0129-01A-01R-1849-01+2,51557783,1515025,61715,207327,12426,34,5,3,11212,11,5,3,11203,6,5,3
06-0130-01A-01R-1849-01+1,62493716,1860359,70981,338809,13438,58,14,13,9441,25,9,8,9427,14,9,8
06-0130-01A-01R-1849-01+2,41914083,1202001,47484,217174,,,,,,,,,,,,
06-0132-01A-02R-1849-01+1,37628389,1076254,40459,227004,,,,,,,,,,,,
06-0132-01A-02R-1849-01+2,59648498,1687452,59812,337238,,,,,,,,,,,,
06-0138-01A-02R-1849-01+1,53103521,1320144,52929,181262,,,,,,,,,,,,
06-0138-01A-02R-1849-01+2,33539565,765546,34263,80687,,,,,,,,,,,,
06-0139-01A-01R-1849-01+1,40785492,12869395,250120,4912509,,,,,,,,,,,,
06-0141-01A-01R-1849-01+1,73728028,1982895,78880,259603,,,,,,,,,,,,
06-0141-01A-01R-1849-01+2,44037378,1142694,49885,133300,,,,,,,,,,,,
06-0152-02A-01R-2005-01+1,67854229,2096035,80297,406391,,,,,,,,,,,,
06-0152-02A-01R-2005-01+2,46467468,1345884,55148,264833,,,,,,,,,,,,
06-0156-01A-02R-1849-01+1,59449077,2237412,76699,471489,,,,,,,,,,,,
06-0156-01A-02R-1849-01+2,41231056,1625863,57412,356936,,,,,,,,,,,,
06-0156-01A-03R-1849-01+1,37439280,805637,37129,83260,,,,,,,,,,,,
06-0156-01A-03R-1849-01+2,55663818,1339829,55751,178366,,,,,,,,,,,,
06-0157-01A-01R-1849-01+1,44780771,1154378,45133,298942,,,,,,,,,,,,
06-0157-01A-01R-1849-01+2,68951759,1842770,68615,427042,,,,,,,,,,,,
06-0158-01A-01R-1849-01+1,47951461,1214201,56632,101434,,,,,,,,,,,,
06-0158-01A-01R-1849-01+2,71599693,1969399,81648,230845,,,,,,,,,,,,
06-0168-01A-01R-1849-01+1,57114098,12043119,185401,5118665,,,,,,,,,,,,
